,filename_left,filename_right
8725095,ATL04_20190809230448_06550401_006_02.h5,MOD06_L2.A2019223.0420.061.2019223133140.hdf
8725333,ATL04_20190808233027_06400401_006_02.h5,MOD06_L2.A2019221.0750.061.2019221193429.hdf
8725585,ATL04_20190807235607_06250401_006_02.h5,MOD06_L2.A2019224.0825.061.2019224194628.hdf
8725652,ATL04_20190811234747_06860401_006_02.h5,MOD06_L2.A2019218.0400.061.2019218132542.hdf
8725950,ATL04_20190811001326_06710401_006_02.h5,MOD06_L2.A2019218.0900.061.2019218193007.hdf
8726527,ATL04_20190809010445_06410401_006_02.h5,MOD06_L2.A2019224.1000.061.2019224194349.hdf
8726852,ATL04_20190812012205_06870401_006_02.h5,MOD06_L2.A2019220.1025.061.2019220194512.hdf
8727271,ATL04_20190811014744_06720401_006_02.h5,MOD06_L2.A2019223.1100.061.2019223194814.hdf
8727565,ATL04_20190806022143_05960401_006_02.h5,MOD06_L2.A2019219.1125.061.2019219194919.hdf
8727966,ATL04_20190809023902_06420401_006_02.h5,MOD06_L2.A2019220.0350.061.2019220133723.hdf
8728855,ATL04_20190807033021_06120401_006_02.h5,MOD06_L2.A2019223.1235.061.2019224014320.hdf
8729606,ATL04_20190806035600_05970401_006_02.h5,MOD06_L2.A2019219.1300.061.2019220015224.hdf
8730692,ATL04_20190812043039_06890401_006_02.h5,MOD06_L2.A2019218.1400.061.2019219013358.hdf
8733574,ATL04_20190812060457_06900401_006_02.h5,MOD06_L2.A2019223.0405.061.2019223131917.hdf
8734913,ATL04_20190807063856_06140401_006_02.h5,MOD06_L2.A2019219.0425.061.2019219131744.hdf
8737337,ATL04_20190806053018_05980401_006_02.h5,MOD06_L2.A2019219.1510.061.2019220014856.hdf
8739508,ATL04_20190809054737_06440401_006_02.h5,MOD06_L2.A2019219.0545.061.2019219132526.hdf
8741594,ATL04_20190808061316_06290401_006_02.h5,MOD06_L2.A2019219.1345.061.2019220013708.hdf
8745434,ATL04_20190810052158_06590401_006_02.h5,MOD06_L2.A2019223.2315.061.2019224072315.hdf
8757018,ATL04_20190808153900_06350401_006_02.h5,MOD06_L2.A2019219.0125.061.2019219133140.hdf
8757276,ATL04_20190807160440_06200401_006_02.h5,MOD06_L2.A2019219.0945.061.2019219195410.hdf
8757731,ATL04_20190810162159_06660401_006_02.h5,MOD06_L2.A2019218.0225.061.2019218133018.hdf
8759284,ATL04_20190807191315_06220401_006_02.h5,MOD06_L2.A2019220.0530.061.2019220134022.hdf
8759632,ATL04_20190806193854_06070401_006_02.h5,MOD06_L2.A2019222.0835.061.2019222193909.hdf
8760016,ATL04_20190808202152_06380401_006_02.h5,MOD06_L2.A2019218.0720.061.2019218192918.hdf
8760414,ATL04_20190811203913_06840401_006_02.h5,MOD06_L2.A2019223.0740.061.2019223194523.hdf
8761779,ATL04_20190809041319_06430401_006_02.h5,MOD06_L2.A2019224.1140.061.2019224194511.hdf
8764555,ATL04_20190811063036_06750401_006_02.h5,MOD06_L2.A2019220.1525.061.2019221014057.hdf
8764837,ATL04_20190806070435_05990401_006_02.h5,MOD06_L2.A2019218.1535.061.2019219013630.hdf
8765079,ATL04_20190809072154_06450401_006_02.h5,MOD06_L2.A2019218.1040.061.2019218193303.hdf
