,filename_left,filename_right
6725163,ATL04_20211002234417_01611301_006_01.h5,MOD06_L2.A2021274.0250.061.2021276162243.hdf
6725276,ATL04_20211002000956_01461301_006_01.h5,MOD06_L2.A2021277.0005.061.2021277161813.hdf
6725404,ATL04_20211001003534_01311301_006_01.h5,MOD06_L2.A2021280.0035.061.2021280134409.hdf
6726043,ATL04_20211004005256_01771301_006_01.h5,MOD06_L2.A2021280.0215.061.2021280135008.hdf
6726274,ATL04_20211007011015_02231301_006_01.h5,MOD06_L2.A2021275.0155.061.2021276031015.hdf
6726674,ATL04_20211002014413_01471301_006_01.h5,MOD06_L2.A2021278.0225.061.2021278145818.hdf
6726857,ATL04_20211004084423_01821301_006_01.h5,MOD06_L2.A2021278.0545.061.2021278145804.hdf
6727092,ATL04_20211006092722_02131301_006_01.h5,MOD06_L2.A2021279.0625.061.2021279194816.hdf
6727253,ATL04_20211001100119_01371301_006_01.h5,MOD06_L2.A2021278.0725.061.2021278194835.hdf
6727366,ATL04_20211005095301_01981301_006_01.h5,MOD06_L2.A2021275.0510.061.2021276030703.hdf
6727724,ATL04_20211004101841_01831301_006_01.h5,MOD06_L2.A2021274.0745.061.2021276161925.hdf
6728161,ATL04_20211003104420_01681301_006_01.h5,MOD06_L2.A2021277.0500.061.2021277161609.hdf
6728491,ATL04_20211002110958_01531301_006_01.h5,MOD06_L2.A2021279.0445.061.2021279133722.hdf
6729189,ATL04_20211007121017_02301301_006_01.h5,MOD06_L2.A2021278.1040.061.2021278194416.hdf
6729295,ATL04_20211002124415_01541301_006_01.h5,MOD06_L2.A2021274.1105.061.2021276162443.hdf
6729652,ATL04_20211001130954_01391301_006_01.h5,MOD06_L2.A2021277.1135.061.2021277210018.hdf
6730116,ATL04_20211003135255_01701301_006_01.h5,MOD06_L2.A2021276.1235.061.2021277021332.hdf
6731115,ATL04_20211003152712_01711301_006_01.h5,MOD06_L2.A2021276.1415.061.2021277021210.hdf
6731255,ATL04_20211007151851_02321301_006_01.h5,MOD06_L2.A2021274.0425.061.2021276162547.hdf
6739712,ATL04_20211004163550_01871301_006_01.h5,MOD06_L2.A2021274.0540.061.2021276163953.hdf
6741216,ATL04_20211007165309_02331301_006_01.h5,MOD06_L2.A2021279.1520.061.2021280035113.hdf
6743100,ATL04_20211002172708_01571301_006_01.h5,MOD06_L2.A2021280.1430.061.2021281015556.hdf
6743227,ATL04_20211006171848_02181301_006_01.h5,MOD06_L2.A2021280.0805.061.2021280195631.hdf
6745569,ATL04_20211001175246_01421301_006_01.h5,MOD06_L2.A2021280.1115.061.2021281051345.hdf
6748551,ATL04_20211003170129_01721301_006_01.h5,MOD06_L2.A2021277.0225.061.2021277163236.hdf
6753921,ATL04_20211001065244_01351301_006_01.h5,MOD06_L2.A2021276.0440.061.2021276140050.hdf
6753943,ATL04_20211001144411_01401301_006_01.h5,MOD06_L2.A2021278.1240.061.2021279015844.hdf
6757886,ATL04_20211002031831_01481301_006_01.h5,MOD06_L2.A2021276.0235.061.2021276135344.hdf
6758962,ATL04_20211005143553_02011301_006_01.h5,MOD06_L2.A2021276.0415.061.2021276135153.hdf
6759691,ATL04_20211003060128_01651301_006_01.h5,MOD06_L2.A2021277.1315.061.2021278014125.hdf
