,filename_left,filename_right
10692833,ATL04_20201015183940_03300901_006_01.h5,MOD06_L2.A2020291.0145.061.2021267185800.hdf
10692889,ATL04_20201019183120_03910901_006_01.h5,MOD06_L2.A2020289.0200.061.2021267184007.hdf
10692963,ATL04_20201014190519_03150901_006_01.h5,MOD06_L2.A2020292.0410.061.2021267190735.hdf
10693620,ATL04_20201016194818_03460901_006_01.h5,MOD06_L2.A2020291.0325.061.2021267185827.hdf
10694340,ATL04_20201015201357_03310901_006_01.h5,MOD06_L2.A2020294.0355.061.2021267192257.hdf
10694985,ATL04_20201014203936_03160901_006_01.h5,MOD06_L2.A2020290.0420.061.2021267185034.hdf
10695126,ATL04_20201014032225_03050901_006_01.h5,MOD06_L2.A2020292.0725.061.2021267190711.hdf
10695249,ATL04_20201017033945_03510901_006_01.h5,MOD06_L2.A2020294.0715.061.2021267192529.hdf
10695413,ATL04_20201016040524_03360901_006_01.h5,MOD06_L2.A2020289.0655.061.2021267184248.hdf
10695928,ATL04_20201015043103_03210901_006_01.h5,MOD06_L2.A2020292.0905.061.2021267190924.hdf
10697361,ATL04_20201017051402_03520901_006_01.h5,MOD06_L2.A2020292.1045.061.2021267190851.hdf
10697515,ATL04_20201016053941_03370901_006_01.h5,MOD06_L2.A2020290.1055.061.2021267185312.hdf
10698088,ATL04_20201014063100_03070901_006_01.h5,MOD06_L2.A2020294.1210.061.2021267192723.hdf
10698351,ATL04_20201017064820_03530901_006_01.h5,MOD06_L2.A2020292.1225.061.2021267190941.hdf
10698551,ATL04_20201014080517_03080901_006_01.h5,MOD06_L2.A2020294.1350.061.2021267192755.hdf
10698805,ATL04_20201017082237_03540901_006_01.h5,MOD06_L2.A2020290.1415.061.2021267185315.hdf
10700487,ATL04_20201015122230_03260901_006_01.h5,MOD06_L2.A2020294.0655.061.2021267192730.hdf
10701945,ATL04_20201014111352_03100901_006_01.h5,MOD06_L2.A2020294.1735.061.2021267194620.hdf
10704262,ATL04_20201016115651_03410901_006_01.h5,MOD06_L2.A2020294.1610.061.2021267195406.hdf
10704710,ATL04_20201020114833_04020901_006_01.h5,MOD06_L2.A2020294.0950.061.2021267192532.hdf
10706494,ATL04_20201018110533_03710901_006_01.h5,MOD06_L2.A2020290.2320.061.2021267185954.hdf
10710898,ATL04_20201019121411_03870901_006_01.h5,MOD06_L2.A2020294.1955.061.2021267192729.hdf
10716514,ATL04_20201016084816_03390901_006_01.h5,MOD06_L2.A2020294.1530.061.2021267192602.hdf
10716709,ATL04_20201015091355_03240901_006_01.h5,MOD06_L2.A2020290.1555.061.2021267185705.hdf
10716954,ATL04_20201016102234_03400901_006_01.h5,MOD06_L2.A2020294.1705.061.2021267192945.hdf
10717048,ATL04_20201015104813_03250901_006_01.h5,MOD06_L2.A2020290.1730.061.2021267185444.hdf
10717657,ATL04_20201014124809_03110901_006_01.h5,MOD06_L2.A2020294.2205.061.2021267192931.hdf
10717762,ATL04_20201017130529_03570901_006_01.h5,MOD06_L2.A2020294.2025.061.2021267192815.hdf
10718847,ATL04_20201017205656_03620901_006_01.h5,MOD06_L2.A2020290.0105.061.2021267185045.hdf
10719236,ATL04_20201015214814_03320901_006_01.h5,MOD06_L2.A2020292.0230.061.2021267190620.hdf
10721998,ATL04_20201016005649_03340901_006_01.h5,MOD06_L2.A2020291.0005.061.2021267185646.hdf
10722627,ATL04_20201014014808_03040901_006_01.h5,MOD06_L2.A2020292.0730.061.2021267191225.hdf
10806986,ATL04_20201018093115_03700901_006_01.h5,MOD06_L2.A2020294.1030.061.2021267192538.hdf
12672513,ATL04_20201104065800_06280901_006_01.h5,MOD06_L2.A2020313.1305.061.2021267222741.hdf
12680185,ATL04_20201105204056_06520901_006_01.h5,MOD06_L2.A2020315.0415.061.2021267221853.hdf
12680617,ATL04_20201104210636_06370901_006_01.h5,MOD06_L2.A2020310.1350.061.2021267214303.hdf
12682375,ATL04_20201105221514_06530901_006_01.h5,MOD06_L2.A2020315.0555.061.2021267221943.hdf
12682742,ATL04_20201104224053_06380901_006_01.h5,MOD06_L2.A2020312.1340.061.2021267215810.hdf
12682815,ATL04_20201108223234_06990901_006_01.h5,MOD06_L2.A2020311.0620.061.2021267214709.hdf
12683685,ATL04_20201105234931_06540901_006_01.h5,MOD06_L2.A2020314.1325.061.2021267221500.hdf
12684357,ATL04_20201104004050_06240901_006_01.h5,MOD06_L2.A2020312.0840.061.2021267215516.hdf
12684441,ATL04_20201105063220_06430901_006_01.h5,MOD06_L2.A2020309.1305.061.2021267213339.hdf
12684960,ATL04_20201105014928_06400901_006_01.h5,MOD06_L2.A2020311.1255.061.2021267215122.hdf
12685046,ATL04_20201107071519_06740901_006_01.h5,MOD06_L2.A2020313.0925.061.2021267220421.hdf
12685129,ATL04_20201104021508_06250901_006_01.h5,MOD06_L2.A2020313.1240.061.2021267220528.hdf
12685264,ATL04_20201108020648_06860901_006_01.h5,MOD06_L2.A2020310.1030.061.2021267214227.hdf
12685335,ATL04_20201106060641_06580901_006_01.h5,MOD06_L2.A2020315.1230.061.2021267222155.hdf
12685874,ATL04_20201110024948_07170901_006_01.h5,MOD06_L2.A2020310.1210.061.2021267214141.hdf
12686443,ATL04_20201106074058_06590901_006_01.h5,MOD06_L2.A2020309.1130.061.2021267213241.hdf
12686584,ATL04_20201104100634_06300901_006_01.h5,MOD06_L2.A2020315.1545.061.2021267222252.hdf
12686699,ATL04_20201110104115_07220901_006_01.h5,MOD06_L2.A2020314.1505.061.2021267221343.hdf
12686746,ATL04_20201105111512_06460901_006_01.h5,MOD06_L2.A2020314.1645.061.2021267221457.hdf
12687113,ATL04_20201104114052_06310901_006_01.h5,MOD06_L2.A2020315.1725.061.2021267222457.hdf
12687579,ATL04_20201107115812_06770901_006_01.h5,MOD06_L2.A2020311.1750.061.2021267215119.hdf
12687836,ATL04_20201106122350_06620901_006_01.h5,MOD06_L2.A2020309.1445.061.2021267213433.hdf
12688140,ATL04_20201105124929_06470901_006_01.h5,MOD06_L2.A2020315.1905.061.2021267222658.hdf
12688347,ATL04_20201104131509_06320901_006_01.h5,MOD06_L2.A2020311.1930.061.2021267215216.hdf
12689118,ATL04_20201110134949_07240901_006_01.h5,MOD06_L2.A2020315.2045.061.2021267222406.hdf
12689438,ATL04_20201105142347_06480901_006_01.h5,MOD06_L2.A2020311.1430.061.2021267215240.hdf
12690557,ATL04_20201106153225_06640901_006_01.h5,MOD06_L2.A2020315.2225.061.2021267222650.hdf
12691450,ATL04_20201104162344_06340901_006_01.h5,MOD06_L2.A2020314.2320.061.2021267221655.hdf
12691701,ATL04_20201107164104_06800901_006_01.h5,MOD06_L2.A2020310.2345.061.2021267214606.hdf
12696689,ATL04_20201105190639_06510901_006_01.h5,MOD06_L2.A2020309.0150.061.2021267215218.hdf
12702851,ATL04_20201108192359_06970901_006_01.h5,MOD06_L2.A2020310.1505.061.2021267214226.hdf
12711888,ATL04_20201104193218_06360901_006_01.h5,MOD06_L2.A2020314.2050.061.2021267222041.hdf
12712539,ATL04_20201107181521_06810901_006_01.h5,MOD06_L2.A2020309.0720.061.2021267214223.hdf
12715336,ATL04_20201106184100_06660901_006_01.h5,MOD06_L2.A2020313.0525.061.2021267220337.hdf
12715624,ATL04_20201110183241_07270901_006_01.h5,MOD06_L2.A2020315.0510.061.2021267222228.hdf
12721803,ATL04_20201104083217_06290901_006_01.h5,MOD06_L2.A2020313.0400.061.2021267220748.hdf
12733850,ATL04_20201107040645_06720901_006_01.h5,MOD06_L2.A2020314.1825.061.2021267221548.hdf
